source	target	mor
Myc	Tert	1
Spi1	Bglap	1
Spi1	Bglap3	1
Spi1	Bglap2	1
Smad3	Jun	1
Smad4	Jun	1
Stat5a	Il2	1
Stat5b	Il2	1
Rela	Fas	1
Wt1	Nr0b1	1
Nr0b2	Casp1	1
Sp1	Aldoa	1
Tp53	Igf1r	-1
Zbtb16	Ccna2	-1
Runx1	Rhd	1
Stat3	Cdkn1a	1
Tp53	Poli	1
Etv4	Ggt1	1
Mtf1	Mcat	1
Creb1	Hmgcs2	1
Foxa2	Gcg	1
Nfatc2	Gcg	1
Cebpb	Pck1	1
Fos	Abcb1a	1
Rela	Abcb1a	1
Plag1	Plag1	1
Tp53	Cdkn1a	1
Tp53	Rb1	-1
E2f1	Cdkn1a	1
E2f3	Cdkn1a	1
Hbp1	Cdkn1a	-1
Yy1	Nr3c1	1
Esr1	Mapk8	1
Jun	Mapk8	1
Mafk	Hbb-b1	1
Nfe2l3	Hbb-b1	1
Tp53	Acta1	1
Tp53	Bcl2	-1
Phox2a	Dbh	1
Stat4	Il12b	1
Stat4	Irf1	1
Irf1	Irf1	1
Atf2	Il6	1
Wt1	Odc1	1
Nr2c2	Ccnd1	1
Tfap2a	Ccl2	1
Fos	Fos	-1
Hnf1a	Igf1	1
Stat5a	Igf1	1
Ets1	Timp1	1
Etv4	Timp1	1
Cebpb	Adra1d	1
Arnt	Cyp1b1	1
Ahr	Cyp1b1	1
Tp53	Ccnb1	-1
Pax6	L1cam	1
Carf	Crebbp	1
Stat5a	Ccnd1	1
Cebpb	Vldlr	1
Nfya	Vldlr	1
Cebpg	Vldlr	1
Tp53	Mdm2	1
Znf148	Cdkn1a	1
Nfic	Crebbp	1
Nfic	Src	1
Nfic	Gal	1
Nfic	Nfic	1
Rbpj	Myod1	-1
Rbpj	Hes1	1
Hes1	Hes1	1
Atf2	Ccnd1	1
Jun	Ccnd1	1
Fos	Mapk14	1
Gata4	Inha	1
Gata4	Gata4	1
Gata4	Gata6	1
Gata6	Gata4	1
E2f3	Rbl1	1
Nfatc2	Il4	1
Hnf4a	Gucy2c	1
Rxrg	Sftpb	1
Rara	Sftpb	1
Jun	Cdkn1a	1
Tp53	Jun	1
Jun	Tp53	-1
Tp53	Tp53	1
Stat3	Prf1	1
Dbp	Jtb	1
Hlf	Jtb	1
Hlf	F8	1
Pparg	Serpine2	1
Pparg	Serpine1	-1
Max	Pdlim7	-1
Usf2	Pdlim7	1
Irf1	Samhd1	1
Irf2	Samhd1	1
Irf1	Ifng	1
Irf1	Nos2	1
Irf2	Nos2	-1
Sp1	Faslg	1
Sp3	Faslg	1
Ar	Prkaca	1
Ar	Klk1b26	1
Ar	Klk1b8	1
Ar	Klk1b9	1
Ar	Klk1b1	1
Ar	Klk1b11	1
Ar	Klk1b27	1
Ar	Klk1b22	1
Ar	Klk1b21	1
Ar	Klk1b5	1
Ar	Klk1b16	1
Ar	Klk1b3	1
Ar	Klk1b24	1
Ar	Klk1b4	1
Ar	Klk1	1
Ar	Arr3	1
Atf1	Cftr	1
Kat7	Cftr	1
Crebzf	Gast	1
Sp1	Gast	1
Gli3	Gli1	1
Nkx2-5	Nppa	1
Gata4	Nppa	1
Ar	Tgfb1i1	1
Tgfb1i1	Ar	1
Rarb	Mmp11	1
Rarg	Mmp11	1
Rarg	Rarb	1
Rarb	Rarg	-1
Jun	Ccl5	1
Rela	Cd40	1
Rela	Ifng	1
Tead1	Tgfa	1
Tfap2a	Tgfa	1
Ppara	Nr1d1	1
Esr2	Rara	1
Rara	Esr1	1
Esr1	Rara	1
Nr3c1	Irs2	1
Pgr	Irs2	1
Tbp	Gtf2a1	1
Gtf2a1	Tbp	1
Rel	Nos2	1
Pax6	Krt12	1
Isl1	Nhlh1	1
Rara	Kras	1
Runx1	Kras	1
Zbtb14	Myc	-1
Myb	Epo	1
Myc	Epo	1
Sp1	Nf1	1
Tp53	Eif2ak2	1
Egr1	Prkcg	1
Sp1	Myod1	1
Myod1	Sp1	-1
Fos	Tp53	1
Tp53	Fos	-1
Ets2	Bcl2l1	1
Gtf2i	Fos	1
Gtf2i	Smarca4	1
Sp1	Fos	1
Yy1	Fos	-1
Sp1	Egr1	1
Egr1	Sp1	1
Nr2f1	Egr1	1
Btaf1	Tbp	-1
Tbp	Btaf1	1
Tbp	Dnah8	1
Myc	Eno1	1
Eno1	Myc	-1
Tp53	Ccnd1	-1
Irf2	Abcc8	1
Irf2	Smc3	1
Fos	Rhoa	1
Jdp2	Lgals1	1
Jun	Dctn1	1
Sp1	Pnmt	1
Nfic	Pck1	1
Creb1	Pck1	1
Nr4a1	Pck1	1
Hmga1	Nos2	1
Rela	Nos2	1
Nfkb1	Nos2	1
Usf1	Usf1	1
Cebpb	Ddit3	1
Ddit3	Cebpb	-1
Ddit3	Atf4	1
Atf4	Ddit3	1
Atf4	Atf3	1
Atf3	Atf4	1
Atf3	Ddit3	1
Taf1	Ccna2	1
Runx2	Bglap	1
Runx2	Bglap3	1
Runx2	Bglap2	1
Tfap2a	Fabp2	1
Tfap2b	Fabp2	1
Atf2	Sele	1
Hmga1	Sele	1
Hnf1a	Lct	1
Crem	Lipe	1
Smad4	Serpine1	1
Smad3	Serpine1	1
Irf8	Ifng	1
Pax6	Gcg	1
Tp53	Bax	1
Tp53	Ccng1	1
Tp53	Chka	1
Tp53	Gadd45a	1
Etv5	Ifng	1
Stat4	Ifng	1
Dmtf1	Cdkn2a	1
Tp53	Cdkn2a	1
Pparg	Lpl	1
Sp1	Npr1	1
Sp3	Npr1	1
Nr5a1	Cyp17a1	1
Sp1	Rac2	1
Sp3	Rac2	1
Neurod2	Itpr1	1
Runx1	Fos	1
Neurod1	Ak1	1
Hhex	Hhex	1
Foxo3	Faslg	1
Usf1	Fasn	1
Usf1	Ins2	1
Mbd1	Fgf2	1
Cebpd	Igf1	1
Elk1	Sod1	1
Yy1	Sod1	1
Fli1	Gp9	1
Fli1	Itga2b	1
Egr1	Elk1	1
Elk1	Egr1	1
